# time(s) mx my mz trailx traily trailz
3.332 -23.368 23.769 -0.006 -28.262 23.242 -0.886
3.349 -22.926 23.817 0.074 -27.821 23.302 -0.806
3.366 -22.484 23.866 0.154 -27.380 23.361 -0.725
3.383 -22.042 23.914 0.234 -26.940 23.421 -0.644
3.400 -21.600 23.963 0.314 -26.499 23.481 -0.564
3.417 -21.158 24.006 0.394 -26.058 23.535 -0.482
3.434 -20.716 24.049 0.473 -25.618 23.589 -0.401
3.451 -20.274 24.092 0.553 -25.177 23.643 -0.320
3.468 -19.832 24.134 0.632 -24.736 23.697 -0.238
3.485 -19.390 24.177 0.712 -24.296 23.751 -0.157
3.502 -18.948 24.219 0.791 -23.855 23.805 -0.075
3.519 -18.506 24.256 0.870 -23.414 23.853 0.006
3.536 -18.064 24.293 0.948 -22.974 23.901 0.087
3.553 -17.622 24.330 1.026 -22.533 23.949 0.168
3.570 -17.180 24.367 1.105 -22.093 23.998 0.249
3.587 -16.738 24.404 1.183 -21.652 24.046 0.330
3.604 -16.296 24.439 1.261 -21.211 24.093 0.412
3.621 -15.854 24.470 1.338 -20.771 24.135 0.493
3.638 -15.412 24.501 1.414 -20.330 24.177 0.574
3.655 -14.970 24.532 1.491 -19.890 24.219 0.656
3.672 -14.528 24.563 1.568 -19.449 24.261 0.737
3.689 -14.086 24.594 1.644 -19.009 24.303 0.819
3.706 -13.644 24.623 1.720 -18.568 24.343 0.900
3.723 -13.202 24.648 1.794 -18.128 24.380 0.979
3.740 -12.760 24.673 1.868 -17.688 24.417 1.059
3.757 -12.318 24.698 1.942 -17.247 24.453 1.139
3.774 -11.876 24.724 2.016 -16.807 24.490 1.218
3.791 -11.434 24.749 2.090 -16.366 24.527 1.298
3.808 -10.992 24.771 2.162 -15.926 24.561 1.377
3.825 -10.550 24.790 2.233 -15.485 24.592 1.454
3.842 -10.108 24.809 2.304 -15.045 24.622 1.532
3.859 -9.666 24.828 2.374 -14.604 24.653 1.609
3.876 -9.224 24.847 2.445 -14.164 24.683 1.687
3.893 -8.782 24.866 2.516 -13.723 24.713 1.765
3.910 -8.340 24.882 2.584 -13.283 24.741 1.841
3.927 -7.898 24.895 2.651 -12.842 24.765 1.916
3.944 -7.456 24.908 2.718 -12.402 24.790 1.991
3.961 -7.014 24.921 2.785 -11.961 24.815 2.066
3.978 -6.572 24.934 2.852 -11.520 24.840 2.141
3.995 -6.130 24.947 2.919 -11.080 24.865 2.216
4.012 -5.688 24.956 2.983 -10.639 24.885 2.289
4.029 -5.246 24.963 3.046 -10.199 24.904 2.361
4.046 -4.804 24.970 3.108 -9.758 24.922 2.433
4.063 -4.362 24.977 3.171 -9.318 24.940 2.505
4.080 -3.920 24.984 3.233 -8.877 24.959 2.578
4.097 -3.478 24.991 3.296 -8.436 24.977 2.650
4.114 -3.036 24.993 3.354 -7.995 24.991 2.718
4.131 -2.594 24.994 3.412 -7.555 25.004 2.786
4.148 -2.152 24.995 3.469 -7.114 25.017 2.853
4.165 -1.710 24.996 3.527 -6.673 25.029 2.921
4.182 -1.268 24.997 3.584 -6.232 25.042 2.989
4.199 -0.826 24.998 3.642 -5.791 25.055 3.057
4.216 -0.384 24.993 3.694 -5.351 25.062 3.120
4.233 0.058 24.988 3.746 -4.910 25.068 3.183
4.250 0.500 24.983 3.798 -4.469 25.074 3.247
4.267 0.942 24.978 3.850 -4.028 25.081 3.310
4.284 1.384 24.973 3.902 -3.587 25.087 3.373
4.301 1.826 24.967 3.954 -3.146 25.093 3.436
4.318 2.268 24.956 4.000 -2.705 25.093 3.495
4.335 2.710 24.945 4.046 -2.264 25.094 3.553
4.352 3.152 24.934 4.092 -1.822 25.094 3.611
4.369 3.594 24.923 4.138 -1.381 25.094 3.670
4.386 4.036 24.912 4.184 -0.940 25.095 3.728
4.403 4.478 24.900 4.229 -0.499 25.094 3.786
4.420 4.920 24.883 4.269 -0.057 25.089 3.838
4.437 5.362 24.866 4.308 0.384 25.084 3.890
4.454 5.804 24.849 4.348 0.826 25.078 3.942
4.471 6.246 24.832 4.387 1.267 25.073 3.995
4.488 6.688 24.815 4.427 1.709 25.068 4.047
4.505 7.130 24.796 4.465 2.150 25.061 4.098
4.522 7.572 24.773 4.498 2.592 25.049 4.144
4.539 8.014 24.750 4.531 3.034 25.037 4.191
4.556 8.456 24.727 4.564 3.476 25.026 4.238
4.573 8.898 24.704 4.597 3.917 25.014 4.284
4.590 9.340 24.681 4.630 4.359 25.002 4.331
4.607 9.782 24.655 4.660 4.801 24.988 4.375
4.624 10.224 24.626 4.685 5.243 24.970 4.414
4.641 10.666 24.597 4.711 5.685 24.952 4.454
