# t mx my mz trailx traily trailz
0.332500 -23.550056 23.751890 -0.117811 -27.933968 23.221985 -2.463127
0.335000 -22.900059 23.824308 0.235406 -27.295811 23.310492 -2.091259
0.337500 -22.250061 23.894691 0.587491 -26.662180 23.397017 -1.711534
0.340000 -21.600061 23.963037 0.936874 -26.032949 23.481564 -1.325355
0.342500 -20.950064 24.029001 1.281018 -25.408634 23.563793 -0.933643
0.345000 -20.300060 24.092915 1.618907 -24.788208 23.644020 -0.538643
0.347500 -19.650063 24.154774 1.949035 -24.171356 23.722248 -0.141615
0.350000 -19.000061 24.214573 2.269922 -23.557661 23.798473 0.256184
0.352500 -18.350067 24.271963 2.578114 -22.947205 23.872339 0.652851
0.355000 -17.700062 24.327286 2.873849 -22.338757 23.944187 1.047445
0.357500 -17.050064 24.380533 3.155800 -21.731670 24.014004 1.438758
0.360000 -16.400064 24.431698 3.422709 -21.125181 24.081778 1.825578
0.362500 -15.750068 24.480434 3.670479 -20.518799 24.147171 2.204828
0.365000 -15.100068 24.527084 3.900569 -19.911173 24.210522 2.576537
0.367500 -14.450069 24.571642 4.111956 -19.301352 24.271812 2.939283
0.370000 -13.800065 24.614103 4.303691 -18.688358 24.331041 3.291531
0.372500 -13.150069 24.654118 4.471359 -18.071360 24.387863 3.628741
0.375000 -12.500070 24.692028 4.617537 -17.449245 24.442612 3.951604
0.377500 -11.850070 24.727835 4.741571 -16.821217 24.495291 4.258221
0.380000 -11.200074 24.761532 4.842905 -16.186628 24.545883 4.546618
0.382500 -10.550070 24.792767 4.917160 -15.544991 24.594046 4.810975
0.385000 -9.900071 24.821886 4.967813 -14.896044 24.640118 5.052744
0.387500 -9.250072 24.848888 4.994646 -14.239761 24.684088 5.270009
0.390000 -8.600076 24.873774 4.997533 -13.576358 24.725967 5.460963
0.392500 -7.950074 24.896183 4.972476 -12.906302 24.765387 5.619540
0.395000 -7.300076 24.916468 4.923585 -12.230221 24.802694 5.748647
0.397500 -6.650074 24.934631 4.851084 -11.548882 24.837902 5.847238
0.400000 -6.000077 24.950666 4.755295 -10.863178 24.870989 5.914566
0.402500 -5.350076 24.964220 4.632915 -10.174305 24.901606 5.945508
0.405000 -4.700078 24.975645 4.488361 -9.483087 24.930101 5.944644
0.407500 -4.050075 24.984940 4.322285 -8.790472 24.956472 5.912198
0.410000 -3.400079 24.992104 4.135426 -8.097397 24.980715 5.848632
0.412500 -2.750077 24.996782 3.925443 -7.405189 25.002480 5.750247
0.415000 -2.100080 24.999329 3.696707 -6.714233 25.022099 5.622602
0.417500 -1.450082 24.999743 3.450242 -6.025216 25.039591 5.466816
0.420000 -0.800080 24.998026 3.187152 -5.338723 25.054949 5.284168
0.422500 -0.150079 24.993820 2.906243 -4.655942 25.067799 5.072282
0.425000 0.499919 24.987488 2.611486 -3.976705 25.078527 4.836695
0.427500 1.149917 24.979021 2.304209 -3.301341 25.087109 4.578987
0.430000 1.799918 24.968424 1.985781 -2.630134 25.093540 4.300731
0.432500 2.449914 24.955347 1.656248 -1.964084 25.097486 4.000693
0.435000 3.099917 24.940140 1.318882 -1.302583 25.099279 3.683764
0.437500 3.749915 24.922802 0.975191 -0.645760 25.098913 3.351539
0.440000 4.399917 24.903343 0.626711 0.006349 25.096415 3.005634
0.442500 5.049912 24.881405 0.274730 0.652925 25.091410 2.645891
0.445000 5.699911 24.857346 -0.078459 1.294812 25.084255 2.276028
0.447500 6.349911 24.831167 -0.431268 1.932095 25.074955 1.897568
0.450000 6.999915 24.802872 -0.782124 2.564917 25.063517 1.511968
0.452500 7.649911 24.772106 -1.128608 3.192708 25.049564 1.120027
0.455000 8.299910 24.739231 -1.469568 3.816514 25.033472 0.724192
0.457500 8.949910 24.704247 -1.803481 4.436642 25.015234 0.325768
0.460000 9.599906 24.667152 -2.128853 5.053468 24.994852 -0.073976
